Name,Phase,Namespace,Node Name,Restart Count,Host IP,Pod IP
calico-kube-controllers-84cc4d647f-rrn88,Running,calico-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.86
calico-node-52tck,Running,calico-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
calico-node-7xnh4,Running,calico-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
calico-node-d4fc9,Running,calico-system,kaas-8002-fullvsphere-control-plane-j6hfv,3,10.208.3.13,10.208.3.13
calico-node-j5rrg,Running,calico-system,kaas-8002-fullvsphere-control-plane-qqzgf,2,10.208.3.14,10.208.3.14
calico-node-jtlfs,Running,calico-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
calico-node-lckl8,Running,calico-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
calico-node-lst2m,Running,calico-system,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.208.3.12
calico-typha-79bc6b98bb-bc2qx,Running,calico-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
calico-typha-79bc6b98bb-hn6ts,Running,calico-system,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.208.3.12
calico-typha-79bc6b98bb-vqxm4,Running,calico-system,kaas-8002-fullvsphere-control-plane-j6hfv,0,10.208.3.13,10.208.3.13
capa-controller-manager-74fffb5676-vqwb9,Running,capa-system,kaas-8002-fullvsphere-control-plane-qqzgf,8,10.208.3.14,10.170.14.199
capi-kubeadm-bootstrap-controller-manager-f5b45889c-57k2w,Running,capi-kubeadm-bootstrap-system,kaas-8002-fullvsphere-control-plane-j6hfv,12,10.208.3.13,10.170.11.70
capi-kubeadm-control-plane-controller-manager-7dd6748f84-mzbbz,Running,capi-kubeadm-control-plane-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.197
capi-controller-manager-8555dbbbfc-tqjcr,Running,capi-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.27
cappp-controller-manager-5f5bb6956d-r2f5g,Running,cappp-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.198
capv-controller-manager-7bf4d8b66-dcpwm,Running,capv-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.200
capz-controller-manager-7755865f5-jjg9s,Running,capz-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.2
